Round,Poll end time,Game mode,Beatmapset ID,Topic ID,Yes,No,Topic title
7,2018-02-16T18:46:35+00:00,1,313849,702313,36,11,[osu!taiko] 2/11/18 ENNNN - Nightfall by Ryui Vote/Discussion
7,2018-02-16T18:46:36+00:00,1,150548,702314,41,16,[osu!taiko] 2/11/18 The Quick Brown Fox - Shut Down Everything by OnosakiHito Vote/Discussion
7,2018-02-16T18:46:37+00:00,1,592315,702315,74,17,[osu!taiko] 2/11/18 SiIvaGunner - Mute City (Multiplayer Mix) by Mew104 Vote/Discussion
7,2018-02-16T18:46:40+00:00,1,150300,702316,34,15,[osu!taiko] 2/11/18 Expander - Move That Body by Lundlerol Vote/Discussion
8,2018-03-03T02:37:56+00:00,0,541540,708895,264,6,[osu!std] 2/25/18 MOSAIC.WAV - Gokusotu Angel Ennmachan by Nattu Vote/Discussion
8,2018-03-03T02:37:57+00:00,0,613989,708896,150,29,[osu!std] 2/25/18 PUP - DVP by Kaifin Vote/Discussion
8,2018-03-03T02:37:59+00:00,0,339939,708897,199,28,[osu!std] 2/25/18 Helblinde - Putin&#039;s Boner by Hanczer Vote/Discussion
8,2018-03-03T02:38:00+00:00,0,320504,708898,130,17,[osu!std] 2/25/18 Rameses B - Mountains (feat. Veela) by -Tochi Vote/Discussion
8,2018-03-03T02:38:02+00:00,0,210679,708899,170,15,[osu!std] 2/25/18 Fireflight - Unbreakable (Nightcore Mix) by Smokeman Vote/Discussion
8,2018-03-03T02:38:03+00:00,0,139141,708900,143,19,[osu!std] 2/25/18 Pinocchio-P - Weekly Shonen Bye-Bye by Aqo Vote/Discussion
8,2018-03-03T02:38:04+00:00,0,384166,708901,267,15,[osu!std] 2/25/18 Excision &amp; Pegboard Nerds - Bring The Madness by Irixo Vote/Discussion
8,2018-03-03T02:38:05+00:00,0,431135,708902,358,23,[osu!std] 2/25/18 Imagine Dragons - Warriors by Raikozen Vote/Discussion
8,2018-03-03T02:38:07+00:00,0,51391,708903,215,25,[osu!std] 2/25/18 Susumu Hirasawa - Bandiria Travellers by jesse1412 Vote/Discussion
8,2018-03-03T02:38:08+00:00,0,614615,708904,159,14,[osu!std] 2/25/18 Freezer - Narcissus At Oasis (Freezer Remix) by EijiKuinbii Vote/Discussion
8,2018-03-03T02:54:33+00:00,1,603361,708912,72,5,[osu!taiko] 2/25/18 Tanya Degurechaff (CV: Aoi Yuuki) - Los! Los! Los! by asuasu_yura Vote/Discussio
8,2018-03-03T02:54:34+00:00,1,685075,708913,29,7,[osu!taiko] 2/25/18 Tool - Vicarious by frukoyurdakul Vote/Discussion
8,2018-03-03T02:54:35+00:00,1,666923,708914,40,3,[osu!taiko] 2/25/18 Camellia - Tornado by Nofool Vote/Discussion
8,2018-03-03T02:54:38+00:00,1,572069,708915,50,2,[osu!taiko] 2/25/18 Cardboard Box - ++ by Vulkin Vote/Discussion
8,2018-03-03T02:54:41+00:00,1,538780,708916,115,29,[osu!taiko] 2/25/18 The Koxx - A Fool Moon Night by nyanmi-1828 Vote/Discussion
8,2018-03-03T02:54:44+00:00,1,552867,708917,50,3,[osu!taiko] 2/25/18 MDK - Press Start by uone Vote/Discussion
8,2018-03-03T02:54:46+00:00,1,509367,708918,39,13,[osu!taiko] 2/25/18 Reol - YoiYoi Kokon by steven1 Vote/Discussion
8,2018-03-03T03:09:42+00:00,2,521900,708922,64,3,[osu!catch] 2/25/18 Kurokotei - Galaxy Collapse by Minato Yukina Vote/Discussion
8,2018-03-03T03:09:44+00:00,2,400456,708923,33,7,[osu!catch] 2/25/18 Reol - Brain Revolution Girl (feat. ill.bell) by [224]Reol Vote/Discussion
8,2018-03-03T03:09:45+00:00,2,495910,708924,33,2,[osu!catch] 2/25/18 Grand Thaw - Aventyr by Kyuare Vote/Discussion
8,2018-03-03T03:09:46+00:00,2,576779,708925,31,5,[osu!catch] 2/25/18 Hayami Kanade (CV: Iida Yuuko) - Hotel Moonside by CLSW Vote/Discussion
8,2018-03-03T03:09:48+00:00,2,413756,708926,45,4,[osu!catch] 2/25/18 Caravan Palace - Lone Digger by ExGon Vote/Discussion
8,2018-03-03T03:21:09+00:00,3,697153,708933,97,5,[osu!mania] 2/25/18 BEMANI Sound Team(PHQUASE vs DJ TOTTO) - TWO-TORIAL by MAAAAAAAS Vote/Discussion
8,2018-03-03T03:21:10+00:00,3,352755,708934,71,2,[osu!mania] 2/25/18 Helblinde - Memoria Reborn by Fullerene- Vote/Discussion
8,2018-03-03T03:21:12+00:00,3,233932,708935,38,7,[osu!mania] 2/25/18 Yak_Won - Out Of The Blue by Ez2dj_7144 Vote/Discussion
8,2018-03-03T03:21:13+00:00,3,647515,708936,56,1,[osu!mania] 2/25/18 Camellia - Feelin Sky (Camellia&#039;s &quot;200step&quot; Self-remix) by Chrubble Vote/Discuss
8,2018-03-03T03:21:15+00:00,3,551469,708937,47,6,[osu!mania] 2/25/18 TAG underground - POSSESSION by maskeara Vote/Discussion
8,2018-03-03T03:21:16+00:00,3,146623,708938,47,10,[osu!mania] 2/25/18 t+pazolite feat. Rizna - Unlimited Spark! (remake) by Entozer Vote/Discussion
8,2018-03-03T03:21:17+00:00,3,224173,708939,74,6,[osu!mania] 2/25/18 YST - The Lost Dedicated by Zyph Vote/Discussion
8,2018-03-03T03:21:18+00:00,3,373357,708940,52,5,[osu!mania] 2/25/18 Tia - The Glory Days by CloudHolic Vote/Discussion
8,2018-03-03T03:21:20+00:00,3,299333,708941,45,11,[osu!mania] 2/25/18 Yiruma - River Flows in You (LR Mix) by LordRaika Vote/Discussion
8,2018-03-03T03:21:22+00:00,3,352543,708943,60,0,[osu!mania] 2/25/18 Nivrad00 - Piano Boss Rush by Nivrad00 Vote/Discussion
9,2018-03-21T23:07:38+00:00,0,52499,715019,144,14,[osu!std] 3/11/18 e-ZUKA - Assailant in the Night by Saten Vote/Discussion
9,2018-03-21T23:07:40+00:00,0,336802,715020,211,15,[osu!std] 3/11/18 Ocelot - YUKARI by rrtyui Vote/Discussion
9,2018-03-21T23:07:42+00:00,0,375956,715021,185,18,[osu!std] 3/11/18 Yousei Teikoku - God and the Illusory Garden by SnowNiNo_ Vote/Discussion
9,2018-03-21T23:07:43+00:00,0,276313,715022,154,27,[osu!std] 3/11/18 Nizikawa - F.K.S. by Azer Vote/Discussion
9,2018-03-21T23:07:44+00:00,0,555030,715023,284,19,[osu!std] 3/11/18 Poparzeni Kawa Trzy - Bylas dla mnie wszystkim by fartownik Vote/Discussion
9,2018-03-21T23:07:45+00:00,0,339394,715024,196,19,[osu!std] 3/11/18 Kano - Walk This Way! by Settia Vote/Discussion
9,2018-03-21T23:07:47+00:00,0,281721,715025,129,14,[osu!std] 3/11/18 Expander - aura by Midge Vote/Discussion
9,2018-03-21T23:07:48+00:00,0,225049,715026,188,20,[osu!std] 3/11/18 Kohmi Hirose - Promise by koreapenguin Vote/Discussion
9,2018-03-21T23:07:50+00:00,0,473166,715027,234,31,[osu!std] 3/11/18 UNDEAD CORPORATION - Bloodthirsty Nightmare by EphemeralFetish Vote/Discussion
9,2018-03-21T23:07:51+00:00,0,284931,715028,253,15,[osu!std] 3/11/18 Porter Robinson - Flicker by Cyllinus Vote/Discussion
9,2018-03-21T23:45:42+00:00,1,447235,715043,34,0,[osu!taiko] 3/11/18 BLANKFIELD - The Fate Of Three Billion... by -[ ix Ishida xi ]- Vote/Discussion
9,2018-03-21T23:45:43+00:00,1,670625,715044,41,0,[osu!taiko] 3/11/18 DJ Noriken feat. Nanahira - Sweet Wishes by katacheh Vote/Discussion
9,2018-03-21T23:45:45+00:00,1,89851,715045,31,2,[osu!taiko] 3/11/18 xi - Mirage Garden by Mono Kuma Vote/Discussion
9,2018-03-21T23:45:46+00:00,1,410594,715046,31,4,[osu!taiko] 3/11/18 Kobaryo feat. Nanahira - Cross The Finish Line by Y O U T A Vote/Discussion
9,2018-03-21T23:45:47+00:00,1,706117,715047,22,1,[osu!taiko] 3/11/18 Sakimura Ryunosuke feat.NITRIC ACID PROJECT - AKUTAGAWA OVERFLOW by applerss Vot
9,2018-03-21T23:45:48+00:00,1,465330,715048,39,2,[osu!taiko] 3/11/18 KUMOKIRI - Shippuujinrai by yassu- Vote/Discussion
9,2018-03-21T23:45:49+00:00,1,444692,715049,31,0,[osu!taiko] 3/11/18 Toromaru - Enigma by KinomiCandy Vote/Discussion
9,2018-03-21T23:56:33+00:00,2,511738,715055,27,4,[osu!catch] 3/11/18 Mitsuyoshi Takenobu no Ani - Amphisbaena by Kyptoric Vote/Discussion
9,2018-03-21T23:56:35+00:00,2,549286,715056,46,7,[osu!catch] 3/11/18 Yooh - Ice Angel by Arthas Vote/Discussion
9,2018-03-21T23:56:36+00:00,2,365365,715057,25,3,[osu!catch] 3/11/18 ginhika - eastward by Deif Vote/Discussion
9,2018-03-21T23:56:38+00:00,2,286386,715058,48,3,[osu!catch] 3/11/18 Senpi- - Touhou Last Boss Rush!! by Kyuare Vote/Discussion
9,2018-03-21T23:56:41+00:00,2,230741,715059,34,7,[osu!catch] 3/11/18 Reol - No title by Spectator Vote/Discussion
9,2018-03-22T00:07:13+00:00,3,487454,715064,52,6,[osu!mania] 3/11/18 Loctek - Kan-Construction by Daikyi Vote/Discussion
9,2018-03-22T00:07:15+00:00,3,560464,715065,65,13,[osu!mania] 3/11/18 Camellia - In Black &amp; White by Lude Vote/Discussion
9,2018-03-22T00:07:17+00:00,3,328084,715066,63,5,[osu!mania] 3/11/18 O2i3 - Ooi [Game Edit] by LeiN- Vote/Discussion
9,2018-03-22T00:07:19+00:00,3,591171,715067,66,7,[osu!mania] 3/11/18 NOISIA - Groundhog (Beat Juggle) by Razzy Vote/Discussion
9,2018-03-22T00:07:21+00:00,3,349432,715068,71,9,[osu!mania] 3/11/18 Yu_Asahina - Trickstarz by hi19hi19 Vote/Discussion
9,2018-03-22T00:07:23+00:00,3,560692,715069,56,6,[osu!mania] 3/11/18 xi - Angelic Party by Jinjin Vote/Discussion
9,2018-03-22T00:07:24+00:00,3,344198,715070,71,3,[osu!mania] 3/11/18 xi - Aragami by Blocko Vote/Discussion
9,2018-03-22T00:07:26+00:00,3,539088,715071,43,5,[osu!mania] 3/11/18 FELT - Flower Flag by 17VA Vote/Discussion
9,2018-03-22T00:07:28+00:00,3,347113,715072,48,4,[osu!mania] 3/11/18 Demetori - Wind God Girl by TBSM Vote/Discussion
9,2018-03-22T00:07:30+00:00,3,351766,715073,43,17,[osu!mania] 3/11/18 Gakuen Seikatsu Bu - Friend Shitai by FrenzyLi Vote/Discussion
10,2018-04-01T21:17:17+00:00,0,469377,721034,381,24,"[osu!std] 03/25/18 ZBUKU ft. Sliwa, Sztoss - Mloda krew by XVoIR Vote/Discussion"
10,2018-04-01T21:17:19+00:00,0,478303,721035,231,13,[osu!std] 03/25/18 shikata akiko - Katayoku no tori by elchxyrlia Vote/Discussion
10,2018-04-01T21:17:20+00:00,0,412460,721036,240,11,[osu!std] 03/25/18 UNDEAD CORPORATION - Embraced by the Flame  by EchoingFury Vote/Discussion
10,2018-04-01T21:17:21+00:00,0,575809,721037,160,15,[osu!std] 03/25/18 Pa&#039;s Lam System - City Lights Feat. EVO+ Jinmenusagi by handsome Vote/Discussion
10,2018-04-01T21:17:23+00:00,0,663519,721038,134,28,[osu!std] 03/25/18 tofubeats - CANDYYYLAND feat LIZ - Pa&#039;s Remix by ProfessionalBox Vote/Discussion
10,2018-04-01T21:17:24+00:00,0,446774,721039,188,33,[osu!std] 03/25/18 Krewella - Say Goodbye by PantyDev Vote/Discussion
10,2018-04-01T21:17:25+00:00,0,147210,721040,235,28,[osu!std] 03/25/18 xi - FREEDOM DiVE by Pikastar Vote/Discussion
